Unnamed: 0,index,Year,Type,Country,Area,Location,Activity,Sex of Victim,Age,Injury,Fatal (Y/N),Time,Species,Month,Day,Hour,Day - 6
494.0,494.0,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,U,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,Unknown,10,28.0,14.0,
495.0,495.0,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,U,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m",10,25.0,15.0,
496.0,496.0,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,U,21,Lacerations to left hand,N,14h30,5' shark,10,21.0,14.0,
497.0,497.0,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,U,21,Left foot bitten,N,13h50,"Spinner shark, 5'",10,19.0,13.0,
500.0,500.0,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,U,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30,"Tiger shark, 7'",10,17.0,11.0,
502.0,502.0,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,U,9,Laceration to forearm,N,16h20,Unknown,10,9.0,16.0,
503.0,503.0,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,U,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13'",10,9.0,10.0,
505.0,505.0,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,U,18,Foot injured,N,16h50,Unknown,10,7.0,16.0,
506.0,506.0,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,U,22,2 lacerations to ankle,N,13h00,Unknown,10,5.0,13.0,
507.0,507.0,2015,Unprovoked,USA,Texas,Galveston,Wading,U,13,Foot & hands bitten,N,10h00,4' to 5' shark,10,5.0,10.0,
508.0,508.0,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'",10,4.0,8.0,
509.0,509.0,2015,Unprovoked,USA,Florida,"Vilano Beach, St. Johns County",Surfing,U,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'",9,29.0,16.0,
510.0,510.0,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,U,7,Laceration to leg,N,13h30,Unknown,9,26.0,13.0,
512.0,512.0,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,14,Minor injury to left ankle,N,16h45,juvenile shark,9,20.0,16.0,
513.0,513.0,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,U,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'",9,20.0,15.0,
514.0,514.0,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,U,12,Significant injuries to leg,N,12h30,4' shark,9,20.0,12.0,
515.0,515.0,2015,Unprovoked,USA,Florida,"Vilano Beach, St. Johns County",Photographing fish,U,16,Injury to right hand / wrist,N,07h30,Unknown,9,20.0,7.0,
518.0,518.0,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,U,20,Injury to right foot,N,15h00,Unknown,9,17.0,15.0,
519.0,519.0,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,U,42,Minor laceration to hand,N,06h15,6' shark,9,8.0,6.0,
520.0,520.0,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,U,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'",9,6.0,17.0,
521.0,521.0,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,U,29,Laceration to dorsum of foot by hooked shark PROVOKED INCIDENT,N,14h40,Hammerhead shark.,9,5.0,14.0,
522.0,522.0,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,U,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m",9,4.0,11.0,
524.0,524.0,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,U,37,Left foot & ankle bitten,N,08h30,small shark,9,1.0,8.0,
526.0,526.0,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,U,54,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'",8,29.0,10.0,
527.0,527.0,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,U,21,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12'",8,29.0,10.0,
529.0,529.0,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,U,38,Severe laceration to left buttock & thigh,N,17h10,Unknown,8,22.0,17.0,
530.0,530.0,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,U,15,"Injuries to left calf, arm and hand",N,12h30,4' shark,8,20.0,12.0,
531.0,531.0,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,U,10,Lacerations to right leg,N,15h30,3' shark,8,19.0,15.0,
532.0,532.0,2015,Boating,USA,California,Santa Barbara County,Kayak Fishing,U,22,"No injury, kayak bitten",N,07h30,"White shark, 13'",8,18.0,7.0,
534.0,534.0,2015,Provoked,USA,California,Cortes Bank,Spearfishing,U,57,Right hand bitten PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7',8,10.0,8.0,
535.0,535.0,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,U,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark,7,31.0,6.0,
538.0,538.0,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,U,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'",7,26.0,19.0,
540.0,540.0,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,U,46,FATAL,Y,10h00,"White shark, 3.9 to 4.2 m",7,25.0,10.0,
545.0,545.0,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,U,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'",7,10.0,8.0,
549.0,549.0,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",,U,32,Lacerations to right hand & forearm,N,19h00,Unknown,7,4.0,19.0,
550.0,550.0,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,U,52,"No injury, shark bit surfboard",N,09h00,White shark,7,3.0,9.0,
551.0,551.0,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding,U,32,Significant injuries to lower legs,N,09h00,White shark,7,2.0,9.0,
552.0,552.0,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,U,68,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark,7,1.0,12.0,
554.0,554.0,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,U,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark,6,30.0,18.0,
555.0,555.0,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,U,18,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark,6,27.0,16.0,
556.0,556.0,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,U,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark,6,27.0,14.0,
558.0,558.0,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,U,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m",6,26.0,16.0,
559.0,559.0,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,U,43,Puncture wounds to foot,N,11h00,4' shark,6,26.0,11.0,
561.0,561.0,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,U,47,Multiple lacerations to back,N,11h41,Unknown,6,25.0,11.0,
562.0,562.0,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,U,6,Minor injury to foot,N,12h25,Sandtiger shark,6,24.0,12.0,
566.0,566.0,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,U,10,Minor injury to calf,N,13h00,Unknown,6,17.0,13.0,
567.0,567.0,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,U,16,Arm amputated below shoulder,N,17h51,Bull shark,6,14.0,17.0,
568.0,568.0,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,U,12,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark,6,14.0,16.0,
570.0,570.0,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,U,13,Minor lacerations to foot,N,12h45,4' shark,6,11.0,12.0,
571.0,571.0,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Playing,U,11,Lacerations to right calf,N,10h50,"Bull shark, 5'",6,7.0,10.0,
573.0,573.0,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,U,47,Left forearm bitten,N,15h00,"Bull shark, 2.5 m",6,1.0,15.0,
574.0,574.0,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,U,14,Left foot bitten,N,15h00,Unknown,5,29.0,15.0,
575.0,575.0,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,U,19,Minor lacerations to dorsum of right foot,N,13h45,Unknown,5,29.0,13.0,
576.0,576.0,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,U,19,Lacerations to right forearm,N,08h00,1m to 1.2 m shark,5,25.0,8.0,
578.0,578.0,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,18,2 puncture wounds to dorsum of left foot,N,10h30,5' shark,5,20.0,10.0,
579.0,579.0,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,U,30,Laceration to foot,N,14h15,6' shark,5,15.0,14.0,
583.0,583.0,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,U,29,"Injuries to leg, left arm & both hands",N,13h00,"White shark, 3.5 m",5,2.0,13.0,
584.0,584.0,2015,Unprovoked,USA,Hawaii,Kanahena Cove,Snorkeling,U,65,FATAL,Y,09h00,Unknown,4,29.0,9.0,
585.0,585.0,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,U,63,Lacerations to left calf,N,16h30,3- to 4-foot shark,4,26.0,16.0,
586.0,586.0,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,U,26,Leg severed at mid-thigh,N,09h45,"White shark, 6 m",4,25.0,9.0,
587.0,587.0,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing,U,71,"No injury, knocked off ski",N,11h00,"White shark, 3 m",6,24.0,11.0,
589.0,589.0,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,U,13,FATAL,Y,09h00,Bull shark,4,12.0,9.0,
591.0,591.0,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,U,70,Injuries to head & torso,N,13h30,Bull shark,4,3.0,13.0,
596.0,596.0,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,U,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet",3,18.0,11.0,
597.0,597.0,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,U,9,Hand bitten,N,10h00,Blacktip shark,3,16.0,10.0,
599.0,599.0,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,U,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,10h20,Unknown,3,10.0,10.0,
602.0,602.0,2015,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Swimming,U,22,FATAL,Y,18h30,"Tiger shark, 3.5 m",2,14.0,18.0,
603.0,603.0,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,U,41,FATAL,Y,10h00,3.5 to 4 m shark,2,9.0,10.0,
604.0,604.0,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,U,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to 3 m shark,2,8.0,6.0,
606.0,606.0,2015,Boating,AUSTRALIA,Queensland,"Nerang River, Surfer's Paradise",Rowing,U,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m",1,30.0,5.0,
607.0,607.0,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,U,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark,1,27.0,3.0,
609.0,609.0,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,U,24,Foot bitten,N,13h30,Unknown,1,23.0,13.0,
615.0,615.0,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,U,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark,1,6.0,16.0,
616.0,616.0,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,U,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m",1,3.0,8.0,
617.0,617.0,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",,U,12,Leg bitten,N,13h30,"""A small shark""",1,1.0,13.0,
619.0,619.0,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,U,17,FATAL,Y,09h00,"White shark, 4 to 5 m",12,29.0,9.0,
622.0,622.0,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County",Surfing,U,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'",12,28.0,11.0,
623.0,623.0,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,U,45,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,09h00,1.5 m shark,12,28.0,9.0,
625.0,625.0,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,U,17,FATAL,Y,11h30,Tiger shark,12,15.0,11.0,
631.0,631.0,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,U,44,Laceration to left hand,N,13h00,2' shark,11,16.0,13.0,
632.0,632.0,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,U,53,Laceration to left upper leg,N,13h30,1.5 m shark,11,13.0,13.0,
634.0,634.0,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,U,18,Minor injuries to hand & arm,N,16h30,Unknown,11,8.0,16.0,
635.0,635.0,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,U,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'",10,31.0,11.0,
636.0,636.0,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,U,20,Laceration to dorsum of left foot when he stepped on the shark PROVOKED INCIDENT,N,18h00,Unknown,10,29.0,18.0,
641.0,641.0,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,U,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark,10,17.0,6.0,
645.0,645.0,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,29,Foot bitten,N,11h30,Blacktip shark,10,5.0,11.0,
646.0,646.0,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,U,40,Thigh bitten,N,13h30,Unknown,10,7.0,13.0,
647.0,647.0,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,15,Foot bitten,N,11h00,Blacktip shark,10,5.0,11.0,
650.0,650.0,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,U,28,Lacerations to knee,N,17h30,8' to 10' shark,10,2.0,17.0,
651.0,651.0,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,U,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8""",10,2.0,11.0,
655.0,655.0,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,U,50,FATAL,Y,10h45,7' shark,9,9.0,10.0,
656.0,656.0,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing,U,43,Leg bitten,N,13h00,Bull shark,9,6.0,13.0,
657.0,657.0,2014,Boating,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking,U,25,"No injury, shark bit kayak",N,18h00,"White shark, 12' to 14'",9,3.0,18.0,
658.0,658.0,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,U,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark,9,2.0,20.0,
660.0,660.0,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,U,13,Injury to left calf,N,16h40,Spinner shark,8,31.0,16.0,
673.0,673.0,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Swimming,U,10,Puncture wounds to right foot & ankle,N,13h30,Unknown,8,9.0,13.0,
674.0,674.0,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,U,7,Minor lacerations to left heel and big toe,N,13h30,"Bull shark, 5'",8,8.0,13.0,
675.0,675.0,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,U,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark,8,6.0,14.0,
678.0,678.0,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,U,8,Laceration to ankle,N,13h00,Unknown,8,2.0,13.0,
679.0,679.0,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,U,20,Lower limbs & thigh bitten,N,14h00,White shark,8,1.0,14.0,
683.0,683.0,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,U,8,Lacerations to right knee,N,13h30,Unknown,7,21.0,13.0,
685.0,685.0,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,U,61,Lacerations to left foot,N,17h50,6' to 8' shark,7,16.0,17.0,
686.0,686.0,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,U,39,Puncture wounds to foot,N,14h30,4' shark,7,14.0,14.0,
689.0,689.0,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,14,Lacerations to foot,N,14h00,Unknown,7,9.0,14.0,
696.0,696.0,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,U,15,Lacerations to knee,N,17h00,Unknown,6,18.0,17.0,
699.0,699.0,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,U,16,"Abrasion to right hand, lacerations to left forearm",N,17h00,"Sandbar shark, 3' to 4'",6,9.0,17.0,
700.0,700.0,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach, Fleurieu Peninsula",Body boarding,U,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m",6,9.0,9.0,
701.0,701.0,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,U,43,Left arm bitten,N,13h30,Unknown,6,8.0,13.0,
702.0,702.0,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,U,14,Shallow lacerations & puncture wounds below shoulder,N,13h30,Unknown,6,7.0,13.0,
703.0,703.0,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,U,22,Laceration to right lower leg,N,13h30,Bull shark,6,1.0,13.0,
709.0,709.0,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,U,38,Calf bitten,N,11h30,Unknown,5,15.0,11.0,
710.0,710.0,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,U,35,"No injury, but surfboard severely damaged",N,09h30,"white shark, 15'",5,14.0,9.0,
711.0,711.0,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,U,44,Lacerations and puncture wounds to right foot,N,11h00,Unknown,5,13.0,11.0,
714.0,714.0,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,U,40,Lacerations to left foot,N,15h00,4' to 5' shark,5,6.0,15.0,
716.0,716.0,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,23,Laceration to right hand and cuts on fingertips,N,15h00,3' shark,5,1.0,15.0,
,,2020,Y,AUSTRALIA,Queensland,North West Island,FLYTING,M,21,Broken Arm,Y,23h30,White shark,1,,23.0,1
,,2020,Y,AUSTRALIA,Queensland,North West Island,FLYTING,M,21,Broken Arm,Y,23h30,White shark,1,,23.0,1
,,2020,Y,AUSTRALIA,Queensland,North West Island,FLYTING,M,21,Broken Arm,Y,23h30,White shark,1,,23.0,1
,,2020,Y,AUSTRALIA,Queensland,North West Island,FLYTING,M,21,Broken Arm,Y,23h30,White shark,1,,23.0,1
,,2020,Y,AUSTRALIA,Queensland,North West Island,FLYTING,M,21,Broken Arm,Y,23h30,White shark,1,,,1
